filename,label,pitch_mean_hz,pitch_variance_hz2,voiced_ratio,pause_ratio,pause_count,speech_rate_proxy
LA_E_1002903.flac,bonafide,104.44,158.27,0.87,0.695,1,27.23
LA_E_1003128.flac,bonafide,151.96,3080.88,0.7468,0.5506,3,23.48
LA_E_1004363.flac,bonafide,150.88,2289.04,0.8952,0.3992,3,28.03
LA_E_1005795.flac,bonafide,182.89,3069.24,0.8108,0.2658,3,25.41
LA_E_1007872.flac,bonafide,94.73,102.4,0.8828,0.6758,1,27.63
LA_E_1008476.flac,bonafide,94.23,105.07,0.9192,0.4619,0,28.89
LA_E_1010349.flac,bonafide,92.84,86.5,0.9672,0.4074,1,30.38
LA_E_1011807.flac,bonafide,215.66,332.45,0.575,0.4125,1,18.03
LA_E_1015629.flac,bonafide,128.87,1345.55,0.7244,0.7008,1,22.71
LA_E_1017049.flac,bonafide,127.92,3824.93,0.9182,0.7717,1,28.9
LA_E_1018975.flac,bonafide,213.05,15444.23,0.6346,0.5673,1,19.84
LA_E_1022511.flac,bonafide,171.75,3927.77,0.7711,0.4242,1,24.27
LA_E_1023303.flac,bonafide,166.92,5657.59,0.8295,0.5341,2,25.95
LA_E_1023447.flac,bonafide,156.35,1699.83,0.6224,0.2947,5,19.52
LA_E_1023824.flac,bonafide,152.96,2614.31,0.6442,0.4279,4,20.15
LA_E_1024164.flac,bonafide,100.17,110.58,0.8919,0.5068,2,28.02
LA_E_1024417.flac,bonafide,165.17,2625.93,0.9177,0.381,3,28.84
LA_E_1025393.flac,bonafide,118.11,284.44,0.7569,0.4549,1,23.67
LA_E_1026533.flac,bonafide,162.79,1841.73,0.7944,0.2488,2,24.95
LA_E_1027220.flac,bonafide,93.36,70.34,0.8429,0.4245,1,26.67
LA_E_1030819.flac,bonafide,107.64,262.71,0.9059,0.5929,1,28.43
LA_E_1033108.flac,bonafide,140.1,1994.51,0.8189,0.7165,1,25.66
LA_E_1033230.flac,bonafide,124.45,1752.42,0.6259,0.5576,4,19.6
LA_E_1034926.flac,bonafide,145.6,3078.86,0.9184,0.5487,1,28.96
LA_E_1039348.flac,bonafide,120.0,493.28,0.7043,0.6174,3,22.1
LA_E_1039881.flac,bonafide,167.11,3932.17,0.6637,0.4889,1,20.92
LA_E_1040380.flac,bonafide,103.26,186.68,0.9512,0.6933,1,30.02
LA_E_1044611.flac,bonafide,138.69,2308.67,0.5093,0.6111,2,15.93
LA_E_1044956.flac,bonafide,135.15,1499.19,0.809,0.5662,3,25.41
LA_E_1045547.flac,bonafide,135.03,3103.08,0.6632,0.6105,2,20.82
LA_E_1045785.flac,bonafide,137.03,2814.34,0.8333,0.5573,1,26.34
LA_E_1046103.flac,bonafide,213.24,2737.43,0.8511,0.2674,4,26.8
LA_E_1046597.flac,bonafide,127.91,1592.21,0.814,0.5,3,25.46
LA_E_1047085.flac,bonafide,178.07,3444.08,0.9084,0.3626,3,28.48
LA_E_1047198.flac,bonafide,131.44,2358.76,0.8917,0.6458,1,27.88
LA_E_1048407.flac,bonafide,116.05,1583.04,0.7217,0.6348,3,22.63
LA_E_1048677.flac,bonafide,107.28,195.41,0.8857,0.3214,1,27.72
LA_E_1053619.flac,bonafide,152.01,1740.13,0.9145,0.3947,6,28.6
LA_E_1053797.flac,bonafide,139.57,3359.91,0.747,0.5152,3,23.49
LA_E_1054031.flac,bonafide,136.53,2752.46,0.7174,0.5326,1,22.48
LA_E_1054522.flac,bonafide,207.82,5649.86,0.9043,0.31,6,28.4
LA_E_1055678.flac,bonafide,180.4,2270.86,0.8151,0.3196,3,25.62
LA_E_1056200.flac,bonafide,144.11,2952.34,0.7812,0.5312,1,24.51
LA_E_1057588.flac,bonafide,156.47,4284.18,0.6803,0.5514,2,21.4
LA_E_1061586.flac,bonafide,113.43,272.75,0.7753,0.3785,2,24.5
LA_E_1064540.flac,bonafide,228.29,7641.45,0.75,0.4474,2,23.45
LA_E_1066455.flac,bonafide,113.67,405.15,0.8762,0.5215,1,27.62
LA_E_1066571.flac,bonafide,101.88,194.04,0.8333,0.494,1,26.11
LA_E_1066879.flac,bonafide,105.59,192.57,0.8222,0.4972,3,25.87
LA_E_1070252.flac,bonafide,157.66,1989.09,0.8176,0.3585,6,25.61
LA_E_1000147.flac,spoof,94.53,118.35,0.74,0.0151,1,23.27
LA_E_1000273.flac,spoof,105.46,491.05,0.8462,0.1395,1,26.68
LA_E_1000791.flac,spoof,115.44,416.09,0.8936,0.0319,1,28.18
LA_E_1000841.flac,spoof,231.58,760.3,0.7615,0.2192,3,23.87
LA_E_1000989.flac,spoof,181.68,1292.58,0.5143,0.1367,2,16.23
LA_E_1001227.flac,spoof,96.5,152.51,0.8051,0.0763,3,25.2
LA_E_1001232.flac,spoof,139.7,1982.86,0.725,0.4562,1,22.7
LA_E_1001320.flac,spoof,119.07,556.02,0.9593,0.1306,5,30.21
LA_E_1001476.flac,spoof,111.08,283.21,0.9182,0.1918,1,28.87
LA_E_1001893.flac,spoof,129.27,1955.55,0.8846,0.1484,3,27.86
LA_E_1001964.flac,spoof,122.14,759.42,0.7488,0.0362,2,23.45
LA_E_1001976.flac,spoof,174.81,6316.69,0.8947,0.6566,2,28.16
LA_E_1002073.flac,spoof,218.61,123.21,0.925,0.1125,2,29.2
LA_E_1002282.flac,spoof,133.13,1544.81,0.8732,0.5461,3,27.53
LA_E_1002394.flac,spoof,190.19,54.35,0.8889,0.1296,0,27.84
LA_E_1002474.flac,spoof,193.32,1038.81,0.5471,0.0359,5,17.11
LA_E_1002658.flac,spoof,257.76,497.28,0.9351,0.1104,3,29.23
LA_E_1002683.flac,spoof,107.5,127.04,0.7673,0.4686,4,24.01
LA_E_1002769.flac,spoof,243.96,2025.12,0.9237,0.069,8,29.05
LA_E_1002802.flac,spoof,102.09,81.32,0.9457,0.0739,1,29.73
LA_E_1002947.flac,spoof,103.61,170.67,0.702,0.6424,2,22.0
LA_E_1002990.flac,spoof,117.58,381.98,0.8113,0.2571,1,25.82
LA_E_1003228.flac,spoof,220.58,2588.82,0.8864,0.2414,1,28.17
LA_E_1003257.flac,spoof,137.55,2651.16,0.8723,0.5561,3,27.47
LA_E_1003530.flac,spoof,201.03,2615.63,0.6771,0.3125,2,21.17
LA_E_1003768.flac,spoof,239.1,1476.57,0.8333,0.2203,2,26.92
LA_E_1003846.flac,spoof,169.56,1398.71,0.5182,0.2636,4,16.21
LA_E_1004067.flac,spoof,177.96,818.45,0.8667,0.1265,8,27.16
LA_E_1004506.flac,spoof,196.18,393.33,0.9195,0.1034,2,28.79
LA_E_1004546.flac,spoof,176.2,1334.32,0.9294,0.1824,3,29.19
LA_E_1004665.flac,spoof,213.44,3439.35,0.6168,0.3364,2,19.34
LA_E_1004704.flac,spoof,191.25,1861.22,0.8485,0.3359,2,26.81
LA_E_1004940.flac,spoof,99.66,66.27,0.8252,0.0243,1,25.87
LA_E_1005177.flac,spoof,171.29,858.08,0.8095,0.2407,3,25.32
LA_E_1005209.flac,spoof,141.6,1674.99,0.8608,0.4904,1,27.08
LA_E_1005234.flac,spoof,160.05,3225.73,0.816,0.3815,4,25.62
LA_E_1005307.flac,spoof,214.89,936.97,0.8571,0.0119,1,26.92
LA_E_1005517.flac,spoof,153.98,2026.76,0.63,0.525,2,19.71
LA_E_1005565.flac,spoof,233.17,849.36,0.7045,0.2045,3,22.06
LA_E_1005800.flac,spoof,132.23,2265.74,0.803,0.7121,2,25.11
LA_E_1006026.flac,spoof,254.24,1168.38,0.9647,0.0412,2,30.22
LA_E_1006250.flac,spoof,128.19,1399.63,0.7831,0.5723,2,24.58
LA_E_1006317.flac,spoof,210.65,223.02,0.8864,0.0341,1,28.01
LA_E_1006563.flac,spoof,158.28,1264.95,0.9365,0.1667,1,29.35
LA_E_1006585.flac,spoof,110.9,162.06,0.8588,0.5089,1,27.16
LA_E_1006831.flac,spoof,205.89,137.1,0.7692,0.1765,2,24.55
LA_E_1006883.flac,spoof,202.92,1532.4,0.96,0.1,1,30.15
LA_E_1006886.flac,spoof,82.72,11.53,0.8889,0.0,0,28.5
LA_E_1007069.flac,spoof,195.62,921.27,0.8631,0.1756,8,27.0
LA_E_1007187.flac,spoof,162.44,3029.69,0.9231,0.4615,2,29.0
